fid,survey_id,title,survey_date,region,type,lat,lon
180,NP-PA-2410-52Ref,FieldSurvey_20241023-27_PA,2024/10/25,S06W055,🚁,-54.98198524,-6.372555304
181,EX-RO-2305-39,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W067,🚙,-66.44157358,-9.619934406
182,EX-RO-2503-02,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.40040041,-9.568362484
183,EX-RO-2503-04,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.45380645,-9.754413292
184,EX-RO-2503-03,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.43718683,-9.772030425
185,RB-AC-2503-01,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.72410512,-9.911256494
186,RB-AC-2503-02,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.7137868,-9.910317056
187,LA-AM-2503-01,FieldSurvey_20250309-15_RO_AC,2025/3/12,S09W067,🚙,-66.75030217,-9.562686842
188,RB-AC-2503-08,FieldSurvey_20250309-15_RO_AC,2025/3/10,S09W068,🚙,-67.3336423,-9.960976105
189,RB-AC-2503-05,FieldSurvey_20250309-15_RO_AC,2025/3/14,S09W068,🚙,-67.57211495,-9.986281129
190,RB-AC-2503-03,FieldSurvey_20250309-15_RO_AC,2025/3/14,S09W068,🚙,-67.51141938,-9.678666124
191,RB-AC-2503-09,FieldSurvey_20250309-15_RO_AC,2025/3/14,S09W068,🚙,-67.52095393,-9.672670489
192,EX-RO-2503-01,FieldSurvey_20250309-15_RO_AC,2025/3/11,S09W067,🚙,-66.39197481,-9.571294155
193,RB-AC-2503-04,FieldSurvey_20250309-15_RO_AC,2025/3/13,S09W068,🚙,-67.40077181,-9.650722066
194,ST-PA-2402-01,FieldSurvey_20240205-06_PA,2024/2/6,S02W055,🚁,-54.06461872,-2.915246012
195,ST-PA-2402-02,FieldSurvey_20240205-06_PA,2024/2/6,S02W055,🚁,-54.04931548,-2.899336174
196,ST-PA-2402-03,FieldSurvey_20240205-06_PA,2024/2/6,S02W055,🚁,-54.03146037,-2.895948703
197,ST-PA-2402-04,FieldSurvey_20240205-06_PA,2024/2/6,S02W052,🚁,-53.99190872,-2.898727171
198,ST-PA-2402-05,FieldSurvey_20240205-06_PA,2024/2/6,S02W052,🚁,-53.96339076,-2.907072357
199,ST-PA-2402-06,FieldSurvey_20240205-06_PA,2024/2/6,S02W052,🚁,-53.9545825,-2.916231374
200,ST-PA-2402-07,FieldSurvey_20240205-06_PA,2024/2/6,S02W052,🚁,-53.94936976,-2.931533608
201,ST-PA-2402-08,FieldSurvey_20240205-06_PA,2024/2/6,S02W052,🚁,-53.94486054,-2.945725516
202,ST-PA-2402-09,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.98897554,-3.242449442
203,ST-PA-2402-10,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.95937508,-3.23177955
204,ST-PA-2402-11,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.96320353,-3.224338423
205,ST-PA-2402-12,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.96657611,-3.20059672
206,ST-PA-2402-13,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.95473485,-3.198374261
207,ST-PA-2402-14,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.94636148,-3.19683356
208,ST-PA-2402-15,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.86179522,-3.197611773
209,ST-PA-2402-16,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.70540798,-3.327974162
210,ST-PA-2402-17,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.68087279,-3.323322804
211,ST-PA-2402-18,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.62837396,-3.130548305
212,ST-PA-2402-19,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.90337323,-3.147143205
213,ST-PA-2402-20,FieldSurvey_20240205-06_PA,2024/2/6,S03W054,🚁,-53.72477471,-3.133605619
214,NP-PA-2410-01,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.03988825,-7.168845174
215,NP-PA-2410-03,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.51247653,-7.363507448
216,NP-PA-2410-04,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.49862829,-7.332608291
217,NP-PA-2410-05,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.50823459,-7.448375608
218,NP-PA-2410-06,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.54820644,-7.587744919
219,NP-PA-2410-07,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.62123395,-7.632592922
220,NP-PA-2410-08,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.57396897,-7.597420665
221,NP-PA-2410-12,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.02383077,-7.660500486
222,NP-PA-2410-14,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.05248426,-7.362352663
223,NP-PA-2410-15,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.54017729,-7.209145525
224,NP-PA-2410-16,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.50388085,-7.370514218
225,NP-PA-2410-17,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.43867192,-7.463077157
226,NP-PA-2410-21,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.22941788,-7.786655416
227,NP-PA-2410-22,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.34497038,-7.703298167
228,NP-PA-2410-23,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.06927565,-7.704898891
229,NP-PA-2410-24,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.14537222,-7.591694046
230,NP-PA-2410-25,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.08540454,-7.402296587
231,NP-PA-2410-26,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.03426089,-7.187439774
232,NP-PA-2410-29,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.14140085,-7.654584973
233,NP-PA-2410-30,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.06168415,-7.683202656
234,NP-PA-2410-31,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.07684179,-7.518240998
235,NP-PA-2410-36,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.10071349,-7.822596449
236,NP-PA-2410-37,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.07325624,-7.25093833
237,NP-PA-2410-38,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.0603541,-7.148165092
238,NP-PA-2410-40,FieldSurvey_20241023-27_PA,2024/10/25,S06W056,🚁,-55.44682915,-6.599686377
239,NP-PA-2410-41,FieldSurvey_20241023-27_PA,2024/10/25,S06W056,🚁,-55.34270021,-6.620911384
240,NP-PA-2410-42,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.34285139,-7.685049367
241,NP-PA-2410-43,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.24781122,-7.806163832
242,NP-PA-2410-44,FieldSurvey_20241023-27_PA,2024/10/26,S07W056,🚁,-55.47510908,-7.750437472
243,NP-PA-2410-45,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.49686206,-7.280638232
244,NP-PA-2410-46,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.55353012,-7.325751087
245,NP-PA-2410-47,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.41610864,-7.364100605
246,NP-PA-2410-49,FieldSurvey_20241023-27_PA,2024/10/25,S06W056,🚁,-55.33051895,-6.832727156
247,NP-PA-2410-51,FieldSurvey_20241023-27_PA,2024/10/25,S06W056,🚁,-55.1480161,-6.796531234
248,NP-PA-2410-53,FieldSurvey_20241023-27_PA,2024/10/25,S07W056,🚁,-55.53013032,-7.136245188
249,PV-RO-2209-23b,FieldSurvey_20220919-23_RO,2022/9/18,S09W066,🚁,-65.85324426,-9.029122732
250,PV-RO-2209-24,FieldSurvey_20220919-23_RO,2022/9/18,S08W066,🚁,-65.92891997,-8.951062953
251,PV-RO-2209-25,FieldSurvey_20220919-23_RO,2022/9/18,S09W067,🚁,-66.06875272,-9.023164684
252,PV-RO-2209-26,FieldSurvey_20220919-23_RO,2022/9/18,S09W067,🚁,-66.100419,-9.052540851
253,PB-RO-2209-27,FieldSurvey_20220919-23_RO,2022/9/19,S09W067,🚁,-66.18602229,-9.155073521
254,PV-RO-2209-27,FieldSurvey_20220919-23_RO,2022/9/18,S09W067,🚁,-66.07730115,-9.167758553
255,PV-RO-2209-28,FieldSurvey_20220919-23_RO,2022/9/18,S09W067,🚁,-66.03311773,-9.187086093
256,PV-RO-2209-29,FieldSurvey_20220919-23_RO,2022/9/18,S09W066,🚁,-65.81242987,-9.173680706
257,PV-RO-2209-30,FieldSurvey_20220919-23_RO,2022/9/18,S09W066,🚁,-65.78596048,-9.172358341
258,PV-RO-2209-31,FieldSurvey_20220919-23_RO,2022/9/18,S09W066,🚁,-65.89020026,-9.380873564
259,PV-RO-2209-32,FieldSurvey_20220919-23_RO,2022/9/18,S09W066,🚁,-65.92840042,-9.373878987
